DATE,TIME,WT,SC,pH,DO mg/L,DO %sat
8/10/11,11:30:00,16.5,95,7.2,10.3,105
8/10/11,11:45:00,16.8,95,7.2,11.7,120
8/10/11,12:00:00,17.1,94,7.2,12,124
8/10/11,12:15:00,17.2,94,7.2,12.6,131
8/10/11,12:30:00,17.4,94,7.2,12.7,133
8/10/11,12:45:00,17.6,94,7.2,12.8,134
8/10/11,13:00:00,17.8,94,7.3,13.1,137
8/10/11,13:15:00,18,94,7.3,13.2,139
8/10/11,13:30:00,18.2,94,7.3,13.1,140
8/10/11,13:45:00,18.5,94,7.3,13.1,140
8/10/11,14:00:00,18.7,93,7.3,13.4,144
8/10/11,14:15:00,18.9,93,7.3,13.3,144
8/10/11,14:30:00,19.1,93,7.3,13,141
8/10/11,14:45:00,19.3,93,7.3,13.2,144
8/10/11,15:00:00,19.4,93,7.3,13.3,145
8/10/11,15:15:00,19.5,93,7.3,13.9,151
8/10/11,15:30:00,19.6,93,7.3,14.4,158
8/10/11,15:45:00,19.6,93,7.4,14.6,159
8/10/11,16:00:00,19.8,93,7.4,15,164
8/10/11,16:15:00,19.9,93,7.4,15.1,165
8/10/11,16:30:00,20,93,7.4,14.8,162
8/10/11,16:45:00,20.1,93,7.4,14.1,156
8/10/11,17:00:00,20.1,93,7.4,13.2,145
8/10/11,17:15:00,20.1,93,7.4,12.2,134
8/10/11,17:30:00,20.1,93,7.4,11.6,127
8/10/11,17:45:00,20.1,93,7.4,11.2,123
8/10/11,18:00:00,20.1,93,7.4,10.9,120
8/10/11,18:15:00,20,93,7.3,10.7,118
8/10/11,18:30:00,20,93,7.4,10.8,119
8/10/11,18:45:00,19.9,93,7.4,10.7,117
8/10/11,19:00:00,19.9,93,7.4,10.6,116
8/10/11,19:15:00,19.8,93,7.4,10.5,115
8/10/11,19:30:00,19.7,93,7.4,10.5,115
8/10/11,19:45:00,19.6,93,7.4,10.5,114
8/10/11,20:00:00,19.5,93,7.4,10.3,113
8/10/11,20:15:00,19.4,93,7.4,10.2,111
8/10/11,20:30:00,19.3,93,7.4,10.1,110
8/10/11,20:45:00,19.2,93,7.3,9.9,107
8/10/11,21:00:00,19,94,7.3,9.8,105
8/10/11,21:15:00,18.8,94,7.3,9.7,104
8/10/11,21:30:00,18.7,94,7.3,9.5,102
8/10/11,21:45:00,18.5,94,7.3,9.2,98
8/10/11,22:00:00,18.3,94,7.3,9.2,97
8/10/11,22:15:00,18.2,94,7.3,8.8,94
8/10/11,22:30:00,18,94,7.3,8.9,94
8/10/11,22:45:00,17.8,95,7.3,8.3,88
8/10/11,23:00:00,17.6,95,7.3,8.3,87
8/10/11,23:15:00,17.4,95,7.3,8.1,85
8/10/11,23:30:00,17.3,95,7.3,8,83
8/10/11,23:45:00,17.1,95,7.3,7.8,81
8/11/11,0:00:00,16.9,95,7.3,7.5,78
8/11/11,0:15:00,16.7,96,7.3,7.3,76
8/11/11,0:30:00,16.6,96,7.2,7.1,73
8/11/11,0:45:00,16.4,96,7.2,7,72
8/11/11,1:00:00,16.2,96,7.2,6.9,70
8/11/11,1:15:00,16.1,96,7.2,6.6,67
8/11/11,1:30:00,15.9,96,7.2,6.6,67
8/11/11,1:45:00,15.8,96,7.2,6.4,64
8/11/11,2:00:00,15.6,97,7.2,6.3,63
8/11/11,2:15:00,15.5,97,7.2,6.3,63
8/11/11,2:30:00,15.3,97,7.2,6.2,62
8/11/11,2:45:00,15.2,97,7.2,6.2,62
8/11/11,3:00:00,15.1,97,7.2,6.3,62
8/11/11,3:15:00,15,97,7.2,6.2,61
8/11/11,3:30:00,14.8,97,7.2,6.2,61
8/11/11,3:45:00,14.7,97,7.2,6.2,61
8/11/11,4:00:00,14.6,97,7.2,6.7,66
8/11/11,4:15:00,14.5,96,7.2,6.8,67
8/11/11,4:30:00,14.4,96,7.2,6.8,67
8/11/11,4:45:00,14.4,96,7.2,7,68
8/11/11,5:00:00,14.3,96,7.2,7,68
8/11/11,5:15:00,14.2,96,7.2,6.9,67
8/11/11,5:30:00,14.2,96,7.2,7.1,69
8/11/11,5:45:00,14.1,96,7.2,7,68
8/11/11,6:00:00,14,96,7.2,6.9,67
8/11/11,6:15:00,14,96,7.2,6.8,66
8/11/11,6:30:00,13.9,96,7.2,6.9,67
8/11/11,6:45:00,13.9,96,7.2,6.8,66
8/11/11,7:00:00,13.8,96,7.2,7.2,70
8/11/11,7:15:00,13.8,96,7.2,7,68
8/11/11,7:30:00,13.8,96,7.2,7,68
8/11/11,7:45:00,13.8,96,7.2,7,67
8/11/11,8:00:00,13.8,96,7.2,7.1,69
8/11/11,8:15:00,13.8,96,7.2,7.1,69
8/11/11,8:30:00,13.9,96,7.2,7,68
8/11/11,8:45:00,14,96,7.2,7.2,70
8/11/11,9:00:00,14.1,96,7.2,7.2,70
8/11/11,9:15:00,14.3,96,7.2,7.3,72
8/11/11,9:30:00,14.5,96,7.2,7.4,73
8/11/11,9:45:00,14.8,95,7.2,7.5,74
8/11/11,10:00:00,15.1,95,7.2,7.5,75
8/11/11,10:15:00,15.3,95,7.1,7.5,75
8/11/11,10:30:00,15.7,95,7.1,7.7,78
8/11/11,10:45:00,16,95,7.1,7.8,78
8/11/11,11:00:00,16.3,95,7.1,7.8,80
8/11/11,11:15:00,16.6,95,7.1,8,82
8/11/11,11:30:00,16.9,95,7.1,8.1,83
8/11/11,11:45:00,17.3,94,7.1,8.1,84
8/11/11,12:00:00,17.6,94,7.2,8.2,86
8/11/11,12:15:00,18,94,7.2,8.4,88
8/11/11,12:30:00,18.3,94,7.2,8.4,90
8/11/11,12:45:00,18.7,94,7.2,8.5,91
8/11/11,13:00:00,19,94,7.2,8.6,93
8/11/11,13:15:00,19.4,93,7.2,8.6,94
8/11/11,13:30:00,19.8,93,7.2,8.6,95
8/11/11,13:45:00,20.1,93,7.2,8.7,96
8/11/11,14:00:00,20.2,93,7.2,8.7,96
8/11/11,14:15:00,20.1,92,7.3,8.8,97
8/11/11,14:30:00,20.1,91,7.3,8.6,95
8/11/11,14:45:00,20.3,91,7.3,8.5,94
8/11/11,15:00:00,20.7,91,7.3,8.1,91
8/11/11,15:15:00,20.9,91,7.3,8.4,94
8/11/11,15:30:00,20.9,91,7.3,8.1,91
8/11/11,15:45:00,20.8,90,7.3,7.8,88
8/11/11,16:00:00,20.9,90,7.3,7.8,88
8/11/11,16:15:00,21,90,7.3,7.7,86
8/11/11,16:30:00,21,90,7.3,7.8,88
8/11/11,16:45:00,21.1,90,7.3,7.6,85
8/11/11,17:00:00,21.3,90,7.3,7.3,83
8/11/11,17:15:00,21.3,90,7.3,7.1,81
8/11/11,17:30:00,21.3,90,7.3,6.9,78
8/11/11,17:45:00,21.3,90,7.3,7.1,80
8/11/11,18:00:00,21.3,90,7.2,6.8,76
8/11/11,18:15:00,21.3,90,7.2,6.7,76
8/11/11,18:30:00,21.3,90,7.2,6.3,71
8/11/11,18:45:00,21.3,90,7.2,6.3,71
8/11/11,19:00:00,21.3,90,7.2,6.2,70
8/11/11,19:15:00,21.2,90,7.2,6,68
8/11/11,19:30:00,21.2,90,7.2,6,67
8/11/11,19:45:00,21.1,90,7.2,5.6,63
8/11/11,20:00:00,21,91,7.2,5.6,63
8/11/11,20:15:00,20.9,91,7.2,5.5,61
8/11/11,20:30:00,20.7,91,7.2,5.6,62
8/11/11,20:45:00,20.6,91,7.2,5.6,62
8/11/11,21:00:00,20.4,91,7.2,5.3,59
8/11/11,21:15:00,20.3,91,7.2,5.1,56
8/11/11,21:30:00,20.1,91,7.2,5.1,56
8/11/11,21:45:00,19.9,92,7.2,5.1,56
8/11/11,22:00:00,19.7,92,7.2,4.9,54
8/11/11,22:15:00,19.5,92,7.2,4.8,52
8/11/11,22:30:00,19.4,92,7.2,4.7,51
8/11/11,22:45:00,19.2,92,7.2,4.5,49
8/11/11,23:00:00,19,92,7.2,4.4,47
8/11/11,23:15:00,18.8,92,7.2,4.3,46
8/11/11,23:30:00,18.6,93,7.2,4.2,44
8/11/11,23:45:00,18.4,93,7.2,4,43
8/12/11,0:00:00,18.2,93,7.2,3.9,42
8/12/11,0:15:00,18,93,7.2,3.6,38
8/12/11,0:30:00,17.9,93,7.2,3.6,38
8/12/11,0:45:00,17.7,93,7.2,3.6,38
8/12/11,1:00:00,17.5,94,7.2,3.4,35
8/12/11,1:15:00,17.3,94,7.2,3.3,34
8/12/11,1:30:00,17.2,94,7.2,3.2,33
8/12/11,1:45:00,17,94,7.2,3.2,33
8/12/11,2:00:00,16.9,94,7.1,3.1,32
8/12/11,2:15:00,16.8,94,7.1,2.6,27
8/12/11,2:30:00,16.6,94,7.1,3,31
8/12/11,2:45:00,16.5,94,7.1,2.7,28
